,Player,Tm,Pos,Age,MP,Team Performance,Team Performance (20),Season,Composite,ORtg,DRtg
0,Jason Terry,ATL,PG,22,1888,Average,bottom,1999-2000,0.20984455958549228,100.0,108.0
1,LaPhonso Ellis,ATL,PF,29,1309,Average,bottom,1999-2000,0.18976683937823835,103.0,108.0
2,Matt Maloney,ATL,PG,29,1403,Average,bottom,2000-2001,0.16491228070175454,100.0,107.0
3,DerMarr Johnson,ATL,SF,20,1313,Average,bottom,2000-2001,0.09684210526315795,88.0,106.0
4,Jacque Vaughn,ATL,PG,26,1856,Average,Average,2001-2002,0.19974715549936795,110.0,109.0
5,Toni Kukoč*,ATL,SF,33,1494,Average,Average,2001-2002,0.22187104930467763,101.0,107.0
6,Alan Henderson,ATL,C,30,1494,Average,Average,2002-2003,0.15015384615384614,106.0,106.0
7,Darvin Ham,ATL,SG,29,926,Average,Average,2002-2003,0.02892307692307694,87.0,109.0
8,Boris Diaw,ATL,SG,21,1919,Average,bottom,2003-2004,0.12825520833333343,93.0,107.0
9,Chris Crawford,ATL,PF,28,1207,Average,bottom,2003-2004,0.1966145833333333,109.0,108.0
10,Predrag Drobnjak,ATL,C,29,1435,bottom,bottom,2004-2005,0.1839080459770116,100.0,112.0
11,Tony Delk,ATL,SG,31,1340,bottom,bottom,2004-2005,0.21264367816091967,108.0,113.0
12,Josh Childress,ATL,SF,22,2249,bottom,bottom,2005-2006,0.23031496062992135,121.0,111.0
13,Marvin Williams,ATL,PF,19,1952,bottom,bottom,2005-2006,0.15879265091863526,109.0,112.0
14,Josh Childress,ATL,SG,23,2024,bottom,bottom,2006-2007,0.2468056489576327,119.0,109.0
15,Tyronn Lue,ATL,PG,29,1488,bottom,bottom,2006-2007,0.2158708809683927,110.0,113.0
16,Josh Childress,ATL,SF,24,2274,Average,Average,2007-2008,0.22524052065647987,127.0,110.0
17,Zaza Pachulia,ATL,C,23,944,Average,Average,2007-2008,0.12620260328239957,101.0,108.0
18,Ronald Murray,ATL,SG,29,1975,Average,Average,2008-2009,0.1767313019390581,104.0,109.0
