,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,TA
0,Indiana Pacers*,82,19730,39.8,86.8,0.459,7.6,19.4,0.392,32.2,67.3,0.478,21.3,26.2,0.811,11.0,34.1,45.1,24.3,7.3,5.5,15.1,23.3,108.5,1999-2000,IND
1,Milwaukee Bucks*,82,19855,41.4,89.0,0.465,5.1,13.9,0.369,36.2,75.0,0.483,20.3,25.8,0.786,13.2,30.9,44.2,24.1,8.7,5.0,16.0,26.3,108.2,1999-2000,MIL
2,Portland Trail Blazers*,82,19780,40.8,86.8,0.47,5.5,15.2,0.361,35.3,71.6,0.493,20.8,27.4,0.76,13.0,34.6,47.6,26.0,8.5,5.3,16.8,25.2,107.9,1999-2000,POR
3,Utah Jazz*,82,19755,40.1,86.5,0.464,4.5,11.6,0.385,35.7,74.9,0.476,22.5,29.1,0.773,12.7,32.9,45.6,27.7,8.5,6.0,16.5,27.3,107.3,1999-2000,UTA
4,Detroit Pistons*,82,19830,38.5,83.9,0.459,5.6,15.5,0.359,33.0,68.5,0.481,24.7,31.7,0.781,11.6,31.1,42.7,21.6,8.4,3.5,16.3,25.4,107.3,1999-2000,DET
5,Los Angeles Lakers*,82,19805,40.7,88.7,0.459,4.5,13.6,0.329,36.3,75.2,0.482,21.4,30.7,0.696,14.5,35.5,50.0,24.9,8.0,6.9,14.8,23.9,107.3,1999-2000,LAL
6,Dallas Mavericks,82,19730,40.9,90.3,0.453,6.7,17.0,0.391,34.3,73.3,0.468,18.0,22.4,0.804,11.9,31.3,43.3,23.2,7.6,5.3,14.4,22.7,106.6,1999-2000,DAL
7,Minnesota Timberwolves*,82,19905,42.4,90.8,0.467,3.3,9.4,0.346,39.1,81.4,0.481,18.1,23.2,0.78,13.3,32.5,45.8,29.0,8.2,5.8,15.0,25.1,106.1,1999-2000,MIN
8,Seattle SuperSonics*,82,19780,40.4,90.3,0.447,7.1,20.9,0.339,33.3,69.3,0.48,17.7,25.5,0.695,13.5,32.3,45.8,24.4,8.5,4.5,15.0,23.1,105.6,1999-2000,SEA
9,New Jersey Nets,82,19830,39.0,90.0,0.433,6.2,18.0,0.347,32.7,72.1,0.454,20.9,26.7,0.784,13.6,30.3,43.9,22.1,9.4,5.1,14.6,25.0,105.1,1999-2000,NJN
10,San Antonio Spurs*,82,19855,39.3,85.2,0.462,4.4,11.7,0.374,34.9,73.4,0.476,22.0,29.5,0.746,12.3,35.5,47.9,24.2,8.2,7.3,16.4,22.9,105.0,1999-2000,SAS
11,Sacramento Kings*,82,19805,40.0,89.0,0.45,6.5,20.2,0.322,33.5,68.7,0.487,18.6,24.6,0.754,12.9,32.2,45.0,23.8,9.6,4.7,16.2,21.1,105.0,1999-2000,SAC
12,Boston Celtics,82,19730,39.3,88.5,0.444,5.4,16.2,0.331,33.9,72.3,0.469,20.8,28.0,0.745,14.2,31.1,45.4,22.4,10.2,3.7,16.2,28.6,104.8,1999-2000,BOS
13,Houston Rockets,82,19830,38.6,85.6,0.45,7.5,20.9,0.358,31.1,64.7,0.48,20.2,27.6,0.733,13.0,33.2,46.2,22.8,7.9,5.6,18.3,21.4,104.8,1999-2000,HOU
14,Toronto Raptors*,82,19755,39.2,90.4,0.433,5.6,15.4,0.363,33.6,75.0,0.447,20.8,27.2,0.765,14.4,32.2,46.6,25.6,8.8,7.1,14.9,26.1,104.7,1999-2000,TOR
15,Phoenix Suns*,82,19805,39.9,87.3,0.457,5.9,16.1,0.368,34.0,71.2,0.477,18.9,24.9,0.759,13.2,33.0,46.1,27.0,9.6,5.6,17.6,25.4,104.6,1999-2000,PHX
16,Miami Heat*,82,19830,40.1,87.2,0.46,6.0,16.2,0.371,34.1,71.0,0.481,18.2,24.7,0.736,12.4,35.3,47.8,26.1,7.9,7.1,16.6,26.3,104.5,1999-2000,MIA
17,Charlotte Hornets*,82,19780,37.9,84.4,0.449,4.4,12.9,0.339,33.5,71.5,0.469,24.1,31.8,0.758,11.4,34.0,45.5,26.1,9.5,6.2,15.6,21.6,104.3,1999-2000,CHA
18,Denver Nuggets,82,19855,39.0,88.2,0.442,6.0,17.8,0.336,33.0,70.4,0.469,19.5,27.0,0.724,13.7,33.0,46.7,24.4,7.1,7.9,16.3,25.0,103.5,1999-2000,DEN
19,Washington Wizards,82,19805,39.3,87.3,0.451,4.4,11.6,0.376,35.0,75.7,0.462,20.5,27.5,0.743,13.9,31.9,45.8,23.1,7.7,5.0,17.2,28.1,103.5,1999-2000,WAS
20,New York Knicks*,82,19830,39.3,86.5,0.455,4.8,12.7,0.375,34.6,73.8,0.468,19.1,24.5,0.781,10.9,34.2,45.1,21.6,7.0,4.7,16.3,26.9,102.5,1999-2000,NYK
21,Orlando Magic,82,19755,39.6,87.6,0.452,3.7,10.9,0.338,35.9,76.7,0.468,19.6,26.7,0.735,14.3,31.7,46.0,21.3,9.3,5.8,18.0,24.6,102.4,1999-2000,ORL
22,Vancouver Grizzlies,82,19855,38.4,85.6,0.449,4.3,11.9,0.361,34.1,73.7,0.463,21.2,27.4,0.774,13.4,30.9,44.2,22.6,8.1,4.6,18.4,25.0,102.3,1999-2000,VAN
23,Atlanta Hawks,82,19830,39.6,89.8,0.441,3.4,10.7,0.317,36.2,79.1,0.458,19.5,26.2,0.743,15.1,33.9,49.0,20.4,6.6,6.1,16.7,22.7,102.0,1999-2000,ATL
24,Philadelphia 76ers*,82,19830,39.1,88.5,0.442,2.7,8.4,0.323,36.4,80.1,0.454,20.6,29.1,0.708,15.0,32.2,47.2,23.7,10.3,5.0,16.8,25.3,101.5,1999-2000,PHI
25,Cleveland Cavaliers,82,19855,37.6,85.1,0.442,4.3,11.6,0.373,33.3,73.4,0.453,20.9,27.9,0.75,12.8,31.6,44.3,24.5,9.0,4.6,18.0,28.0,100.4,1999-2000,CLE
26,Golden State Warriors,82,19755,38.1,90.9,0.42,4.4,13.6,0.323,33.8,77.3,0.437,19.1,27.3,0.697,16.6,31.0,47.6,23.6,9.3,4.5,16.6,26.0,99.8,1999-2000,GSW
27,Los Angeles Clippers,82,19705,37.3,87.6,0.426,5.6,16.4,0.339,31.7,71.2,0.446,17.7,23.7,0.746,12.4,30.8,43.2,19.2,7.5,6.4,17.2,23.6,97.8,1999-2000,LAC
28,Chicago Bulls,82,19805,34.8,83.7,0.415,4.6,14.0,0.329,30.1,69.7,0.432,20.1,28.3,0.709,14.0,31.5,45.5,22.3,8.8,5.2,21.1,25.8,94.2,1999-2000,CHI
29,Milwaukee Bucks*,82,19780,41.0,89.5,0.458,7.4,19.5,0.379,33.6,70.0,0.48,19.4,24.7,0.787,12.8,32.9,45.8,24.3,8.8,5.1,14.8,25.4,108.8,2000-2001,MIL
30,Los Angeles Lakers*,82,19905,40.9,87.9,0.465,5.8,16.8,0.344,35.1,71.1,0.494,20.9,30.7,0.683,14.3,33.9,48.2,24.8,7.4,6.4,15.6,24.6,108.4,2000-2001,LAL
31,Utah Jazz*,82,19780,40.0,85.0,0.471,4.4,11.5,0.381,35.6,73.5,0.485,23.2,30.8,0.752,12.7,32.2,45.0,28.5,8.9,6.3,17.5,28.5,107.6,2000-2001,UTA
32,Dallas Mavericks*,82,19805,40.1,87.3,0.459,6.7,17.6,0.381,33.4,69.7,0.479,20.2,25.4,0.794,10.8,33.4,44.2,22.6,8.0,6.4,14.8,24.8,107.1,2000-2001,DAL
33,Houston Rockets,82,19830,39.4,86.9,0.453,6.7,18.9,0.357,32.7,68.0,0.48,21.2,27.9,0.758,12.3,33.8,46.1,21.6,7.9,4.8,16.1,22.2,106.7,2000-2001,HOU
34,San Antonio Spurs*,82,19830,39.0,84.6,0.461,6.0,14.8,0.407,33.0,69.8,0.472,22.6,31.6,0.715,12.2,36.6,48.8,24.0,7.7,7.8,15.5,21.0,106.6,2000-2001,SAS
35,Portland Trail Blazers*,82,19780,40.9,87.3,0.468,5.0,14.4,0.349,35.9,73.0,0.492,19.7,25.8,0.762,13.1,33.8,46.8,26.7,9.1,5.7,17.1,23.8,106.5,2000-2001,POR
