,Unnamed: 0,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,Team Performance
0,364,Jason Terry,PG,22,ATL,81,27,23.3,3.1,7.4,0.415,0.6,1.9,0.293,2.5,5.5,0.458,0.453,1.4,1.7,0.807,0.3,1.8,2.0,4.3,1.1,0.1,1.9,1.6,8.1,1999-2000,Average
1,111,LaPhonso Ellis,PF,29,ATL,58,8,22.6,3.6,8.0,0.45,0.1,0.4,0.143,3.6,7.6,0.465,0.454,1.1,1.6,0.695,1.7,3.3,5.0,1.0,0.6,0.4,0.9,2.3,8.4,1999-2000,Average
2,211,Matt Maloney,PG,29,ATL,55,27,25.5,2.7,6.3,0.42,0.9,2.6,0.359,1.7,3.7,0.461,0.493,0.5,0.6,0.765,0.3,1.9,2.1,2.8,1.0,0.1,1.3,1.7,6.7,2000-2001,Average
3,71,Chris Crawford,PF,25,ATL,47,22,19.2,2.6,5.7,0.452,0.1,0.5,0.273,2.5,5.3,0.468,0.463,1.4,1.8,0.819,0.6,1.7,2.3,0.8,0.4,0.3,1.3,2.5,6.8,2000-2001,Average
4,274,Ira Newble,SF,27,ATL,42,35,30.3,3.1,6.3,0.498,0.0,0.2,0.143,3.1,6.1,0.508,0.5,1.8,2.1,0.852,1.9,3.4,5.3,1.1,0.9,0.5,1.2,2.8,8.0,2001-2002,Average
5,98,Emanual Davis,PG,33,ATL,28,20,27.6,2.5,7.1,0.354,1.0,3.0,0.341,1.5,4.0,0.363,0.427,0.6,0.6,0.889,0.7,2.0,2.6,2.4,1.0,0.2,1.9,2.4,6.6,2001-2002,Average
6,153,Alan Henderson,C,30,ATL,82,3,18.2,1.9,4.0,0.468,0.0,0.0,0.0,1.9,4.0,0.471,0.468,1.1,1.7,0.638,1.9,3.0,4.9,0.5,0.4,0.4,0.7,2.0,4.8,2002-2003,Average
7,28,Corey Benjamin,SG,24,ATL,9,0,16.9,1.4,4.8,0.302,0.2,1.4,0.154,1.2,3.3,0.367,0.326,1.3,1.8,0.75,1.1,2.3,3.4,1.1,0.1,0.2,0.7,2.2,4.4,2002-2003,Average
8,70,Jason Collier,C,26,ATL,20,16,27.3,4.0,8.3,0.479,0.1,0.2,0.25,3.9,8.1,0.484,0.482,3.4,4.3,0.788,1.8,3.8,5.6,0.9,0.6,0.6,1.6,3.6,11.3,2003-2004,Average
9,90,Boris Diaw,SG,21,ATL,76,37,25.3,1.8,4.1,0.447,0.1,0.3,0.231,1.8,3.8,0.467,0.457,0.7,1.2,0.602,1.5,3.0,4.5,2.4,0.8,0.5,1.7,2.5,4.5,2003-2004,Average
10,89,Tony Delk,SG,31,ATL,56,1,23.9,4.4,10.6,0.416,1.3,3.6,0.356,3.1,6.9,0.447,0.477,1.8,2.4,0.757,0.5,1.8,2.3,1.9,0.8,0.1,1.0,2.2,11.9,2004-2005,bottom
11,98,Predrag Drobnjak,C,29,ATL,71,1,20.2,3.4,7.6,0.438,0.4,1.0,0.352,3.0,6.6,0.451,0.461,1.4,1.7,0.8,1.0,2.3,3.4,0.7,0.6,0.3,1.1,1.9,8.4,2004-2005,bottom
12,67,Josh Childress,SF,22,ATL,74,10,30.4,3.8,6.8,0.552,0.4,0.9,0.492,3.3,5.9,0.56,0.583,2.1,2.7,0.766,1.8,3.4,5.2,1.8,1.2,0.5,1.4,2.5,10.0,2005-2006,bottom
13,397,Marvin Williams,PF,19,ATL,79,7,24.7,3.0,6.7,0.443,0.2,0.7,0.245,2.8,6.1,0.464,0.455,2.4,3.2,0.747,1.5,3.3,4.8,0.8,0.6,0.3,1.1,2.9,8.5,2005-2006,bottom
14,77,Josh Childress,SG,23,ATL,55,13,36.8,4.7,9.4,0.504,0.5,1.4,0.338,4.3,8.0,0.533,0.529,3.0,3.8,0.795,2.2,3.9,6.2,2.3,1.1,0.7,1.5,2.1,13.0,2006-2007,bottom
15,230,Tyronn Lue,PG,29,ATL,56,17,26.6,3.9,9.4,0.416,1.0,2.9,0.348,2.9,6.5,0.446,0.469,2.6,2.9,0.883,0.3,1.5,1.9,3.6,0.4,0.0,1.5,1.8,11.4,2006-2007,bottom
16,71,Josh Childress,SF,24,ATL,76,0,29.9,4.3,7.5,0.571,0.3,0.8,0.367,4.0,6.8,0.595,0.59,2.9,3.6,0.807,2.3,2.6,4.9,1.5,0.9,0.6,1.3,1.7,11.8,2007-2008,Average
17,209,Acie Law,PG,23,ATL,56,6,15.4,1.7,4.2,0.401,0.1,0.6,0.206,1.6,3.6,0.433,0.416,0.7,0.9,0.792,0.2,0.8,1.0,2.0,0.5,0.0,1.0,1.3,4.2,2007-2008,Average
