Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Shareef Abdur-Rahim,C,30,SAC,80,45,2015,7.8,16.4,.474,0.1,0.5,.150,7.7,15.9,.484,4.3,5.9,.726,3.1,6.9,10.0,2.7,1.3,1.0,2.9,6.1,19.9,,103,108,abdursh01
2,Hassan Adams,SG,22,NJN,61,8,495,8.0,14.3,.556,0.0,0.1,.000,8.0,14.2,.560,2.5,3.8,.667,3.7,4.5,8.2,1.4,1.8,0.4,2.3,5.0,18.5,,109,107,adamsha01
3,Maurice Ager,SG,22,DAL,32,1,214,5.5,17.5,.314,1.3,3.8,.333,4.3,13.8,.309,5.0,8.3,.606,0.3,5.0,5.3,1.8,1.0,0.8,3.8,6.8,17.3,,79,106,agerma01
4,LaMarcus Aldridge,C,21,POR,63,22,1392,9.4,18.7,.503,0.0,0.1,.000,9.4,18.6,.505,3.2,4.5,.722,5.6,6.6,12.2,0.9,0.9,2.8,1.7,7.3,22.1,,113,109,aldrila01
5,Malik Allen,PF,28,CHI,60,1,638,8.6,20.7,.415,0.0,0.1,.000,8.6,20.6,.416,2.2,2.7,.824,3.4,6.2,9.6,1.3,1.4,1.3,1.7,6.8,19.4,,96,100,allenma01
6,Ray Allen*,SG,31,SEA,55,55,2219,11.9,27.2,.438,3.9,10.4,.372,8.0,16.7,.479,6.6,7.3,.903,1.3,4.5,5.8,5.4,1.9,0.3,3.6,2.7,34.3,,112,112,allenra02
7,Tony Allen,SG,25,BOS,33,18,805,8.6,16.8,.514,0.5,2.1,.242,8.1,14.6,.553,6.8,8.7,.784,2.3,5.8,8.0,3.6,3.2,0.8,4.9,5.6,24.6,,105,104,allento01
8,Rafer Alston,PG,30,HOU,82,82,3040,6.7,17.8,.375,3.3,9.2,.363,3.3,8.5,.389,2.3,3.1,.734,0.5,4.4,4.9,7.7,2.2,0.2,3.0,3.4,18.9,,103,102,alstora01
9,Lou Amundson,PF,24,TOT,11,0,89,3.6,8.9,.400,0.0,0.0,,3.6,8.9,.400,2.4,5.9,.400,7.7,8.9,16.6,0.6,0.6,4.8,3.0,8.9,9.5,,91,103,amundlo01
9,Lou Amundson,PF,24,UTA,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,116,amundlo01
9,Lou Amundson,PF,24,PHI,10,0,87,3.6,9.1,.400,0.0,0.0,,3.6,9.1,.400,2.4,6.1,.400,7.9,9.1,17.0,0.6,0.6,4.9,3.0,9.1,9.7,,91,103,amundlo01
