,Unnamed: 0,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,Season,Team Performance,MPG
0,364,Jason Terry,PG,22,ATL,81,27,1888,6.9,16.6,0.415,1.3,4.4,0.293,5.6,12.3,0.458,3.1,3.9,0.807,0.7,3.9,4.6,9.6,2.5,0.3,4.3,3.7,18.2,,100.0,108.0,1999-2000,Average,23.3
1,111,LaPhonso Ellis,PF,29,ATL,58,8,1309,8.4,18.5,0.45,0.1,0.8,0.143,8.2,17.7,0.465,2.6,3.8,0.695,3.9,7.7,11.6,2.4,1.3,1.0,2.1,5.3,19.5,,103.0,108.0,1999-2000,Average,22.6
2,650,Matt Maloney,PG,29,ATL,55,27,1403,5.4,12.9,0.42,1.9,5.3,0.359,3.5,7.7,0.461,1.0,1.3,0.765,0.5,3.8,4.4,5.7,2.1,0.2,2.6,3.5,13.7,,100.0,107.0,2000-2001,Average,25.5
3,616,DerMarr Johnson,SF,20,ATL,78,21,1313,5.8,15.5,0.374,1.6,5.0,0.323,4.2,10.5,0.399,2.5,3.5,0.736,2.2,4.9,7.1,2.5,1.7,1.2,3.7,5.3,15.8,,88.0,106.0,2000-2001,Average,19.2
4,1259,Jacque Vaughn,PG,26,ATL,82,16,1856,5.8,12.3,0.47,0.7,1.5,0.444,5.1,10.8,0.474,2.9,3.5,0.825,0.5,4.2,4.7,9.8,1.8,0.1,3.2,5.2,15.2,,110.0,109.0,2001-2002,Average,30.3
5,1086,Toni Kukoč*,SF,33,ATL,59,9,1494,7.4,17.6,0.419,1.9,6.0,0.31,5.5,11.6,0.474,3.8,5.4,0.712,1.5,6.1,7.6,7.3,1.7,0.6,4.0,3.2,20.4,,101.0,107.0,2001-2002,Average,27.6
6,1473,Alan Henderson,C,30,ATL,82,3,1494,5.4,11.6,0.468,0.0,0.1,0.0,5.4,11.5,0.471,3.1,4.9,0.638,5.5,8.5,14.1,1.4,1.2,1.1,2.2,5.9,13.9,,106.0,106.0,2002-2003,Average,18.2
7,1457,Darvin Ham,SG,29,ATL,75,1,926,4.0,9.1,0.447,0.0,0.2,0.0,4.0,8.9,0.455,2.2,4.5,0.481,4.2,4.6,8.7,2.2,0.9,1.1,3.7,7.2,10.3,,87.0,109.0,2002-2003,Average,16.9
8,1838,Boris Diaw,SG,21,ATL,76,37,1919,3.9,8.6,0.447,0.2,0.7,0.231,3.7,7.9,0.467,1.5,2.6,0.602,3.1,6.4,9.4,5.0,1.6,1.0,3.5,5.3,9.4,,93.0,107.0,2003-2004,Average,27.3
9,2091,Jacque Vaughn,PG,28,ATL,71,6,1271,4.4,11.5,0.386,0.1,0.8,0.15,4.3,10.7,0.405,2.2,2.8,0.779,0.5,4.3,4.8,8.1,1.8,0.1,3.5,5.2,11.2,,91.0,109.0,2003-2004,Average,25.3
10,2288,Predrag Drobnjak,C,29,ATL,71,1,1435,8.7,19.9,0.438,0.9,2.6,0.352,7.8,17.3,0.451,3.5,4.4,0.8,2.7,6.0,8.7,1.8,1.5,0.9,2.9,5.1,21.8,,100.0,112.0,2004-2005,bottom,23.9
11,2279,Tony Delk,SG,31,ATL,56,1,1340,9.6,23.2,0.416,2.8,7.9,0.356,6.8,15.2,0.447,4.0,5.3,0.757,1.1,4.0,5.1,4.1,1.8,0.1,2.1,4.8,26.1,,108.0,113.0,2004-2005,bottom,20.2
12,2721,Josh Childress,SF,22,ATL,74,10,2249,6.6,11.9,0.552,0.8,1.5,0.492,5.8,10.4,0.56,3.6,4.7,0.766,3.2,6.0,9.1,3.1,2.0,0.9,2.4,4.3,17.5,,121.0,111.0,2005-2006,bottom,30.4
13,3051,Marvin Williams,PF,19,ATL,79,7,1952,6.4,14.4,0.443,0.4,1.4,0.245,6.0,13.0,0.464,5.1,6.9,0.747,3.3,7.1,10.4,1.7,1.3,0.7,2.3,6.2,18.3,,109.0,112.0,2005-2006,bottom,24.7
14,3189,Josh Childress,SG,23,ATL,55,13,2024,6.9,13.6,0.504,0.7,2.0,0.338,6.2,11.6,0.533,4.4,5.5,0.795,3.2,5.7,9.0,3.3,1.5,0.9,2.1,3.1,18.8,,119.0,109.0,2006-2007,bottom,36.8
15,3533,Shelden Williams,PF,23,ATL,81,31,1514,5.8,12.9,0.455,0.1,0.1,0.5,5.8,12.7,0.454,3.9,5.1,0.764,4.6,10.7,15.3,1.6,1.8,1.4,3.4,7.0,15.6,,100.0,105.0,2006-2007,bottom,26.6
16,3641,Josh Childress,SF,24,ATL,76,0,2274,7.6,13.3,0.571,0.5,1.4,0.367,7.1,11.9,0.595,5.1,6.4,0.807,4.0,4.6,8.6,2.7,1.6,1.0,2.3,3.0,20.8,,127.0,110.0,2007-2008,Average,29.9
17,3836,Zaza Pachulia,C,23,ATL,62,5,944,6.0,13.7,0.437,0.0,0.2,0.0,6.0,13.5,0.442,6.0,8.5,0.706,5.0,8.9,13.8,2.0,1.3,0.7,3.9,7.8,18.0,,101.0,108.0,2007-2008,Average,15.4
18,4267,Ronald Murray,SG,29,ATL,80,2,1975,9.6,21.6,0.447,2.4,6.6,0.36,7.3,15.0,0.485,4.8,6.3,0.76,0.6,4.0,4.6,4.3,2.4,0.5,3.5,4.7,26.4,,104.0,109.0,2008-2009,Average,24.7
19,4122,Maurice Evans,SF,30,ATL,80,25,1840,6.1,14.0,0.432,2.9,7.2,0.395,3.2,6.8,0.47,1.7,2.1,0.822,2.6,4.5,7.1,1.6,1.5,0.3,1.3,4.7,16.7,,115.0,110.0,2008-2009,Average,23.0
20,4548,Jamal Crawford,SG,29,ATL,79,0,2460,10.7,23.9,0.449,3.5,9.2,0.382,7.2,14.7,0.491,5.8,6.8,0.857,0.7,3.6,4.4,5.2,1.3,0.3,3.0,2.9,30.9,,114.0,110.0,2009-2010,Average,31.1
21,4578,Maurice Evans,SF,31,ATL,79,5,1317,7.1,15.9,0.445,2.3,6.8,0.337,4.8,9.1,0.527,1.9,2.5,0.754,2.4,3.8,6.2,1.9,1.4,0.7,0.8,5.1,18.3,,117.0,109.0,2009-2010,Average,16.7
22,4980,Jamal Crawford,SG,30,ATL,76,0,2297,8.6,20.4,0.421,2.8,8.2,0.341,5.8,12.3,0.474,5.2,6.1,0.854,0.5,2.5,3.0,5.6,1.3,0.3,3.4,2.3,25.2,,105.0,111.0,2010-2011,Average,30.2
23,5169,Zaza Pachulia,C,26,ATL,79,7,1244,4.6,10.0,0.461,0.0,0.0,,4.6,10.0,0.461,5.8,7.7,0.754,5.1,9.2,14.4,2.5,1.5,1.0,3.0,7.9,15.1,,111.0,105.0,2010-2011,Average,15.7
24,5789,Marvin Williams,SF,25,ATL,57,37,1500,7.2,16.7,0.432,2.1,5.3,0.389,5.1,11.4,0.452,4.1,5.2,0.788,2.7,7.7,10.4,2.5,1.7,0.6,1.4,3.0,20.5,,113.0,101.0,2011-2012,Average,31.6
25,5553,Kirk Hinrich,SG,31,ATL,48,31,1237,5.2,12.7,0.414,2.0,5.8,0.346,3.2,6.8,0.472,1.1,1.4,0.781,0.5,3.9,4.3,5.7,1.6,0.5,2.5,4.3,13.6,,100.0,104.0,2011-2012,Average,26.3
26,5989,Devin Harris,SG,29,ATL,58,34,1421,7.1,16.2,0.438,2.8,8.4,0.335,4.3,7.8,0.549,4.1,5.6,0.727,0.2,4.0,4.2,7.2,2.3,0.5,3.2,3.8,21.0,,108.0,106.0,2012-2013,Average,28.7
27,6183,DeShawn Stevenson,SG,31,ATL,56,31,1158,4.4,11.7,0.374,3.4,9.4,0.364,1.0,2.4,0.415,0.5,1.0,0.522,0.8,4.7,5.5,2.3,1.3,0.3,1.0,3.1,12.7,,104.0,108.0,2012-2013,Average,24.5
28,6545,Shelvin Mack,PG,23,ATL,73,11,1490,7.1,17.1,0.417,2.1,6.3,0.337,5.0,10.8,0.464,2.2,2.5,0.865,0.7,4.7,5.4,9.2,1.7,0.1,3.0,3.4,18.5,,105.0,109.0,2013-2014,Average,33.0
29,6636,Mike Scott,PF,25,ATL,80,6,1482,10.3,21.5,0.479,2.1,6.8,0.31,8.2,14.6,0.558,3.5,4.5,0.78,2.1,7.6,9.7,2.6,1.0,0.2,2.7,4.1,26.3,,105.0,108.0,2013-2014,Average,24.1
