Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Sacramento Kings*,82,19830,43.1,87.3,.494,13.6,36.9,.369,29.5,50.3,.586,19.6,24.8,.790,9.4,32.6,42.0,27.0,6.9,3.3,13.3,19.5,119.4
2,Boston Celtics*,82,19980,42.2,88.8,.475,16.0,42.6,.377,26.2,46.2,.567,17.5,21.6,.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,118.0
3,New York Knicks*,82,19955,42.6,90.7,.470,12.8,36.3,.354,29.8,54.5,.547,19.7,25.8,.761,12.8,34.6,47.3,23.3,6.5,4.2,13.2,20.6,117.8
4,Philadelphia 76ers*,82,19880,41.7,85.6,.487,12.9,33.3,.387,28.8,52.3,.551,21.4,25.6,.835,8.9,32.9,41.8,25.7,7.9,4.8,14.0,20.9,117.7
5,Denver Nuggets*,82,19755,44.2,87.8,.504,12.0,31.7,.379,32.3,56.1,.575,17.1,22.7,.751,10.3,33.4,43.7,29.3,7.7,4.6,14.8,18.9,117.6
6,Dallas Mavericks,82,19930,40.9,86.2,.475,15.5,41.9,.371,25.4,44.2,.574,19.4,25.7,.755,7.8,31.9,39.7,23.4,6.4,3.8,12.5,21.2,116.8
7,Atlanta Hawks*,82,19855,43.9,90.9,.483,10.6,30.1,.352,33.3,60.9,.548,18.2,22.2,.818,11.0,32.6,43.7,24.6,7.0,4.8,12.7,18.5,116.6
8,Cleveland Cavaliers*,82,19880,43.0,88.1,.488,12.0,32.7,.367,31.0,55.4,.559,18.2,23.3,.780,10.0,32.5,42.5,25.8,7.4,4.8,13.8,19.7,116.1
9,Golden State Warriors*,82,19830,42.1,88.0,.479,16.2,42.2,.385,25.9,45.9,.564,15.6,19.7,.794,10.3,33.3,43.6,29.1,7.0,3.8,15.9,20.9,116.1
10,Utah Jazz,82,19805,42.0,88.8,.473,13.2,37.4,.353,28.8,51.4,.560,18.5,23.6,.786,11.7,33.7,45.4,25.7,6.0,5.2,15.2,20.2,115.8
11,Toronto Raptors*,82,19805,42.9,93.5,.459,11.0,32.8,.335,31.9,60.7,.525,18.8,24.0,.784,13.0,31.0,44.0,24.5,9.6,5.3,11.9,20.5,115.5
12,Milwaukee Bucks*,82,19830,42.2,89.2,.473,14.7,39.8,.368,27.5,49.4,.557,16.4,22.1,.743,11.0,37.0,48.0,25.5,6.3,4.9,14.4,17.8,115.4
13,Oklahoma City Thunder*,82,19855,42.3,90.8,.465,11.9,33.5,.356,30.4,57.3,.530,18.8,23.3,.809,11.2,31.6,42.8,23.9,8.1,4.1,12.8,20.6,115.2
14,Memphis Grizzlies*,82,19780,43.0,90.6,.475,11.8,33.7,.351,31.2,56.9,.548,17.2,23.5,.733,11.9,34.0,45.9,25.6,8.2,5.7,13.4,19.7,115.1
15,Phoenix Suns*,82,19780,42.7,91.3,.467,12.4,33.0,.374,30.3,58.2,.520,17.4,22.0,.793,12.0,32.8,44.8,27.6,7.2,5.3,13.7,21.5,115.1
16,Los Angeles Clippers*,82,19830,41.6,87.2,.477,12.9,33.8,.381,28.8,53.4,.539,18.9,24.2,.781,9.9,33.9,43.8,24.2,7.2,4.5,14.4,19.7,115.0
17,Brooklyn Nets*,82,19730,42.0,86.3,.487,13.0,34.3,.378,29.1,52.0,.559,17.9,22.4,.800,8.3,32.8,41.1,25.9,7.2,6.3,13.9,21.4,115.0
18,Portland Trail Blazers,82,19730,40.9,86.4,.474,13.0,35.7,.365,27.9,50.7,.550,19.9,24.9,.796,9.6,31.5,41.0,24.5,6.8,4.6,14.6,20.3,114.8
19,Indiana Pacers,82,19755,41.4,88.3,.469,13.4,36.4,.367,28.0,51.8,.540,18.4,23.4,.790,10.0,30.9,40.9,26.6,7.6,5.7,14.7,20.9,114.6
20,Los Angeles Lakers*,82,19880,41.9,87.0,.482,10.5,30.5,.346,31.4,56.5,.555,20.2,26.0,.775,9.7,34.9,44.7,24.7,6.3,4.5,13.8,17.5,114.5
21,Washington Wizards,82,19755,42.6,87.9,.485,11.4,32.1,.356,31.2,55.8,.559,17.8,22.7,.785,9.5,34.6,44.1,25.7,6.9,5.2,14.3,19.0,114.4
22,New Orleans Pelicans*,82,19855,42.1,87.6,.480,11.0,30.1,.364,31.1,57.5,.541,19.3,24.4,.793,10.6,33.2,43.7,25.9,8.3,4.1,14.6,20.5,114.4
23,Minnesota Timberwolves*,82,19830,42.1,85.9,.490,11.9,32.7,.365,30.2,53.1,.568,17.6,23.3,.755,9.0,32.2,41.1,25.7,7.9,5.3,15.1,21.2,113.7
24,Chicago Bulls*,82,19905,42.7,87.1,.490,10.4,29.0,.361,32.2,58.1,.555,17.7,21.9,.809,8.5,34.0,42.5,24.5,7.9,4.5,13.4,19.0,113.5
25,Miami Heat*,82,19805,40.5,88.0,.460,12.3,35.9,.344,28.1,52.1,.540,19.7,23.7,.831,10.0,31.9,41.9,24.6,8.2,3.1,13.9,19.1,113.0
26,Orlando Magic,82,19780,40.6,86.4,.470,10.8,31.2,.346,29.8,55.3,.539,19.6,25.0,.784,10.2,33.1,43.3,23.3,7.4,4.7,15.1,20.2,111.6
27,Houston Rockets,82,19755,40.8,89.4,.457,10.5,32.1,.327,30.3,57.3,.530,19.2,25.5,.754,13.5,33.1,46.6,22.5,7.4,4.6,16.3,20.6,111.4
28,Detroit Pistons,82,19805,39.7,87.4,.454,11.4,32.5,.351,28.3,54.8,.516,19.9,25.8,.771,11.2,31.4,42.6,23.1,7.0,3.8,15.1,22.2,110.7
29,San Antonio Spurs,82,19855,42.0,90.3,.465,10.8,31.4,.345,31.2,58.9,.529,15.4,20.7,.743,11.5,31.1,42.6,26.5,6.8,3.8,14.9,19.4,110.2
30,Charlotte Hornets,82,19830,40.6,89.0,.457,10.6,32.0,.330,30.1,56.9,.528,17.4,23.2,.749,10.8,33.0,43.8,24.7,7.6,5.1,14.0,19.9,109.2
