Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Dallas Mavericks*,82,19880,41.6,90.1,.462,8.1,21.4,.378,33.5,68.7,.488,20.9,25.9,.806,11.9,33.4,45.3,23.6,7.6,5.1,12.9,24.0,112.2
2,Los Angeles Lakers*,82,19780,41.5,90.1,.461,6.7,19.0,.354,34.8,71.2,.489,19.7,28.2,.699,13.5,34.3,47.8,24.8,8.2,6.3,13.7,24.0,109.4
3,Minnesota Timberwolves*,82,19805,42.5,92.2,.461,5.3,14.0,.378,37.2,78.2,.476,18.7,23.5,.798,14.2,34.3,48.5,26.7,7.0,5.7,14.7,23.3,109.0
4,Sacramento Kings*,82,19755,41.5,89.0,.467,5.4,14.7,.367,36.1,74.3,.486,20.6,27.4,.751,12.9,34.3,47.2,24.9,9.4,4.8,14.3,19.8,109.0
5,Seattle SuperSonics*,82,19830,42.6,90.8,.469,6.6,17.6,.378,35.9,73.3,.490,17.2,22.7,.755,13.2,31.7,44.9,26.2,9.5,4.9,15.3,23.5,108.9
6,Portland Trail Blazers*,82,19830,40.7,90.4,.450,6.3,17.9,.354,34.4,72.5,.474,19.7,25.8,.763,14.7,33.1,47.8,26.1,9.5,5.0,15.9,21.8,107.4
7,Orlando Magic*,82,19830,40.1,89.5,.448,8.1,21.6,.373,32.0,68.0,.471,18.8,24.9,.754,12.2,31.7,43.9,23.4,8.6,5.0,14.5,22.1,107.0
8,Milwaukee Bucks,82,19905,40.6,87.9,.462,7.9,21.2,.375,32.7,66.7,.490,17.7,23.6,.748,11.2,34.2,45.4,24.7,8.0,5.2,15.5,23.9,106.9
9,San Antonio Spurs*,82,19855,39.1,85.4,.458,5.9,16.3,.362,33.2,69.2,.480,22.4,30.2,.742,12.2,34.5,46.6,22.1,8.4,7.2,15.8,21.1,106.5
10,Utah Jazz*,82,19830,38.5,85.5,.450,3.8,11.3,.333,34.7,74.2,.468,24.8,32.6,.763,14.9,31.5,46.4,26.8,10.0,7.0,18.1,26.4,105.6
11,Los Angeles Clippers,82,19805,40.0,89.7,.445,5.5,15.4,.356,34.5,74.3,.464,20.1,27.3,.739,14.6,33.3,47.8,23.1,6.9,7.3,16.3,21.8,105.5
12,Washington Wizards,82,19730,40.5,91.8,.441,4.2,10.8,.388,36.3,80.9,.448,19.7,25.7,.765,14.5,33.0,47.5,23.6,7.8,4.9,14.7,24.3,104.8
13,Detroit Pistons*,82,19680,38.5,85.3,.452,7.7,20.4,.376,30.9,64.9,.475,20.0,26.5,.756,11.0,32.1,43.0,23.9,8.8,7.7,16.2,23.0,104.8
14,Cleveland Cavaliers,82,19855,39.5,88.1,.448,5.2,13.7,.377,34.3,74.4,.461,20.5,26.5,.772,13.0,33.2,46.2,25.3,7.7,6.3,16.0,23.5,104.6
15,Charlotte Hornets*,82,19755,39.2,89.2,.440,4.7,13.5,.348,34.5,75.7,.456,21.2,28.5,.745,14.3,33.9,48.3,23.8,8.8,6.2,15.6,23.7,104.3
16,Indiana Pacers*,82,19905,38.5,86.3,.446,5.3,15.7,.339,33.2,70.6,.470,21.8,28.3,.772,12.2,33.7,45.9,24.7,8.6,5.7,16.4,24.6,104.1
17,New Jersey Nets*,82,19830,40.1,89.9,.446,5.3,15.7,.338,34.8,74.1,.469,18.5,25.1,.735,13.7,33.2,46.9,26.2,9.4,6.5,15.7,22.9,104.0
18,Boston Celtics*,82,19830,37.3,88.1,.424,9.1,25.5,.359,28.2,62.6,.450,19.6,25.6,.764,11.7,33.6,45.3,22.5,10.4,3.8,14.6,23.2,103.4
19,Phoenix Suns,82,19830,41.0,91.8,.447,4.7,14.5,.327,36.3,77.3,.469,16.5,21.6,.767,14.2,32.2,46.4,24.3,8.8,5.3,16.0,23.6,103.3
20,Houston Rockets,82,19980,38.6,90.3,.428,6.8,20.2,.335,31.9,70.1,.455,19.1,25.8,.741,14.0,32.8,46.8,20.2,7.3,6.1,15.7,20.1,103.1
21,Golden State Warriors,82,19780,38.5,89.7,.429,4.1,12.8,.322,34.4,77.0,.447,21.7,30.1,.722,17.1,32.0,49.1,21.9,8.3,6.7,17.7,24.2,102.8
22,Toronto Raptors*,82,19755,40.0,92.1,.434,5.3,15.2,.349,34.7,76.9,.451,17.4,23.5,.739,15.2,32.0,47.2,24.3,9.4,6.2,16.1,24.2,102.6
23,Philadelphia 76ers*,82,19730,38.4,88.1,.436,2.9,9.8,.299,35.4,78.3,.453,22.4,28.8,.779,14.9,34.7,49.6,22.4,9.6,5.0,17.2,22.5,102.1
24,Atlanta Hawks,82,19780,38.3,87.3,.439,5.6,15.8,.354,32.7,71.5,.458,19.6,25.6,.765,12.6,32.3,44.9,21.9,8.8,4.6,16.8,22.5,101.8
